id,sdp,group,sus_G,sus_E,sus,inf_G,inf_E,inf,rec_G,rec_E,rec,r0_G,r0_E,r0
510,progeny,19,-0.0609679,0.0019823,0.942720344232316,-0.0885422,-0.0725073,0.851249933192553,-0.053904,0.00605786,0.953280447524283,0.815940290583387,0.937566922204936,0.764998626945267
511,progeny,19,-0.0371407,0.0587345,1.02182863336808,-0.121902,-0.267395,0.677533012823949,-0.0565443,0.040193,0.983781656847047,0.806068139279347,0.844958724131232,0.681094306528313
512,progeny,19,-0.0790258,-0.0541054,0.87535023862324,-0.0697723,0.0839199,1.01424815091803,-0.0554398,-0.0532177,0.897037600268275,0.815268395763479,0.976868530966043,0.796410040112512
513,progeny,19,-0.0350061,0.0780541,1.0439880050722,-0.119424,-0.302582,0.655730105001009,-0.0540908,0.0774342,1.02361798961742,0.811784068238219,0.863213090560244,0.700742634411481
514,progeny,19,0.0409614,0.107025,1.15949712709481,-0.0634177,-0.335228,0.671228475478134,-0.0605985,0.139855,1.0824819430823,0.920300713359157,0.915442247382947,0.842482153305636
515,progeny,19,-0.122249,-0.0528569,0.839368126977717,0.0265976,0.0827516,1.11555183303391,0.0208503,-0.0517249,0.969597152935787,0.927928032860528,0.978406354346251,0.907890683726757
516,progeny,19,-0.122209,-0.0531161,0.839184157648059,0.0268727,0.082385,1.11544976471088,0.0207934,-0.0520797,0.969198051948499,0.928167654812475,0.977447399327667,0.907235060336513
517,progeny,19,-0.122293,-0.0530895,0.839135989859839,0.0270365,0.0839461,1.11737546435223,0.0207726,-0.0525971,0.968676569900347,0.928222418319617,0.978494121332526,0.908260179614806
518,progeny,19,-0.122074,-0.0522047,0.840062739544503,0.0267674,0.0804217,1.1131447302467,0.0209405,-0.0510054,0.9703825536771,0.928331769361145,0.977469294394636,0.907415799561562
519,progeny,19,-0.122261,-0.0523841,0.839754996938622,0.0267239,0.0812127,1.11397711699835,0.02089,-0.051541,0.969813979099446,0.928070944781524,0.977543584884012,0.907229798388423
520,progeny,19,0.0651321,0.189447,1.28991857986766,-0.217107,-0.612395,0.436266492946084,0.0186988,0.320657,1.40404281478532,0.875223409562651,0.902766808300355,0.790122644000629
521,progeny,19,0.0172563,-0.0564239,0.961589533234432,-0.165611,0.0877025,0.925049064660703,0.00186941,-0.0556294,0.947659526972182,0.863738437833734,0.975943288795075,0.842959731678174
522,progeny,19,0.0516041,0.0707125,1.13011183855569,-0.208907,-0.303084,0.599301181531901,0.00517291,0.0946899,1.10501931007719,0.85887662811153,0.871376093729302,0.74840456119922
523,progeny,19,0.0554955,0.0805473,1.14573092982928,-0.212938,-0.333669,0.57891072589904,0.0049538,0.10159,1.11242664966589,0.858568595726711,0.859390639157865,0.737845814242449
524,progeny,19,-0.0517844,-0.0552824,0.898465653480024,-0.0712895,0.0861898,1.01501186288817,-0.0527339,-0.0544596,0.898351825092908,0.83877918120409,0.976722988398119,0.819254908471786
525,progeny,19,0.0143004,0.0628122,1.08016369597746,-0.110104,-0.282909,0.675019972269454,0.0759565,0.0872532,1.17728354016366,0.980348557142231,0.875602025557094,0.858395182385712
526,progeny,19,0.0273304,0.000574276,1.0282976583034,-0.0940793,0.0128707,0.922001341903327,0.0666234,-0.0837401,0.983028958461315,0.999874507874796,0.932118688713148,0.932001715157959
