id	sus_g	inf_g	end_g	sus_e	inf_e	end_e	sus_pt	inf_pt	end_pt	r0_g	r0_pt
118	0.483149	0.0610911	0.1486	0.603675	-0.0485318	0.266719	1.086824	0.0125593	0.415319	0.6928401	1.5147023
119	0.843821	-0.193735	0.168844	1.68012	-1.0477	0.450593	2.523941	-1.241435	0.619437	0.81893	1.901943
120	0.167364	0.593608	0.0659885	1.53909	-1.06795	0.391717	1.706454	-0.474342	0.4577055	0.8269605	1.6898175
121	-0.179722	0.832002	0.0335785	0.0373503	0.0767031	0.0394203	-0.1423717	0.9087051	0.0729988	0.6858585	0.8393322
122	-0.0693265	0.796766	0.0482724	0.485334	-0.173366	0.152907	0.4160075	0.6234	0.2011794	0.7757119	1.2405869
123	-0.226543	0.820165	0.0189673	-0.426737	0.264709	-0.116259	-0.65328	1.084874	-0.0972917	0.6125893	0.3343023
124	0.629572	0.317044	0.0879912	2.47066	-1.99538	0.488096	3.100232	-1.678336	0.5760872	1.0346072	1.9979832
125	-0.069336	1.00125	0.133345	-0.0417356	0.0630593	-0.0112259	-0.1110716	1.0643093	0.1221191	1.065259	1.0753568
126	-0.00508899	1.07138	0.19238	2.16988	-0.870646	0.7782	2.16479101	0.200734	0.97058	1.25867101	3.33610501
127	-0.133438	1.03128	0.134209	0.148536	0.0158671	0.0825379	0.015098	1.0471471	0.2167469	1.032051	1.278992
128	0.024062	1.10605	0.143567	-0.109102	0.37363	-0.0311835	-0.08504	1.47968	0.1123835	1.273679	1.5070235
129	-0.113883	1.01072	0.119335	-0.44665	0.265187	-0.141966	-0.560533	1.275907	-0.022631	1.016172	0.692743
130	0.152807	-0.39977	-0.00352226	0.324988	-0.519614	0.046956	0.477795	-0.919384	0.04343374	-0.25048526	-0.39815526
131	0.0752784	-0.394422	-0.0228152	-0.334082	-0.200675	-0.161897	-0.2588036	-0.595097	-0.1847122	-0.3419588	-1.0386128
132	0.798629	-0.28451	0.172328	5.83017	-2.77413	1.84902	6.628799	-3.05864	2.021348	0.686447	5.591507
133	0.529811	-0.105332	0.122903	3.63899	-1.31594	1.22077	4.168801	-1.421272	1.343673	0.547382	4.091202
134	0.149015	-0.390694	-0.0037014	0.298975	-0.483575	0.0425419	0.44799	-0.874269	0.0388405	-0.2453804	-0.3874385
135	0.441773	-0.510054	-0.0469182	0.348437	-0.209618	0.0604482	0.79021	-0.719672	0.01353	-0.1151992	0.0840680000000001
136	0.375566	-0.430294	-0.0295358	0.929999	-0.348294	0.314914	1.305565	-0.778588	0.2853782	-0.0842638	0.8123552
137	0.185217	-0.41155	-0.0565037	0.146157	-0.00352241	0.0967024	0.331374	-0.41507241	0.0401987	-0.2828367	-0.04349971
138	0.289412	-0.449808	-0.0525254	0.228371	-0.0796202	0.08359	0.517783	-0.5294282	0.0310646	-0.2129214	0.0194194
139	0.498116	-0.472868	-0.0320815	0.694954	-0.256255	0.182933	1.19307	-0.729123	0.1508515	-0.00683350000000001	0.6147985
140	0.593055	0.577251	0.218077	2.19381	-0.920826	0.758037	2.786865	-0.343575	0.976114	1.388383	3.419404
141	0.398902	-0.738598	-0.015232	-0.742475	0.225337	-0.306943	-0.343573	-0.513261	-0.322175	-0.354928	-1.179009
142	0.67019	0.612719	0.195226	0.870147	-0.147758	0.27587	1.540337	0.464961	0.471096	1.478135	2.476394
143	0.421625	0.545713	0.154781	-0.0445508	0.0750129	0.00292949	0.3770742	0.6207259	0.15771049	1.122119	1.15551059
144	1.00699	0.679802	0.250759	2.15484	-0.450783	0.667266	3.16183	0.229019	0.918025	1.937551	4.308874
145	0.32871	0.344829	0.15646	1.00234	-0.243495	0.316819	1.33105	0.101334	0.473279	0.829999	1.905663
146	0.0977915	0.294849	0.131332	0.706424	-0.315907	0.26098	0.8042155	-0.021058	0.392312	0.5239725	1.1754695
147	0.0868002	0.295804	0.122309	0.350992	-0.136158	0.139117	0.4377922	0.159646	0.261426	0.5049132	0.8588642
148	0.182448	0.279574	0.125255	0.198179	-0.0319596	0.055278	0.380627	0.2476144	0.180533	0.587277	0.8087744
149	0.0467355	0.263417	0.0927927	-0.706868	0.308592	-0.237302	-0.6601325	0.572009	-0.1445093	0.4029452	-0.2326328
150	0.0620764	-0.097607	-0.0136181	0.415852	-0.227991	0.0788743	0.4779284	-0.325598	0.0652562	-0.0491487	0.2175866
151	0.159251	-0.113925	-0.00394435	0.560309	-0.284171	0.0998035	0.71956	-0.398096	0.09585915	0.04138165	0.41732315
152	-0.0099967	-0.0101845	0.0307855	2.0156	-0.882249	0.700889	2.0056033	-0.8924335	0.7316745	0.0106043	1.8448443
153	-0.840205	0.16395	-0.115805	-2.98083	1.71651	-0.767794	-3.821035	1.88046	-0.883599	-0.79206	-2.824174
154	-0.0201431	-0.0429564	-0.000948286	0.837628	-0.350319	0.276787	0.8174849	-0.3932754	0.275838714	-0.064047786	0.700048214
155	0.100087	-0.307559	-0.00768552	-0.0887497	-0.105293	-0.0511338	0.0113373	-0.412852	-0.05881932	-0.21515752	-0.46033402
156	0.174345	-0.306446	0.0115832	0.548389	-0.394354	0.154361	0.722734	-0.7008	0.1659442	-0.1205178	0.1878782
157	0.175117	-0.306205	0.0118094	0.554456	-0.396265	0.156416	0.729573	-0.70247	0.1682254	-0.1192786	0.1953284
158	0.118978	-0.307525	-0.00275779	0.0702285	-0.177571	0.000613631	0.1892065	-0.485096	-0.002144159	-0.19130479	-0.298033659
159	0.107901	-0.308144	-0.00565384	-0.0285243	-0.132245	-0.0315224	0.0793767	-0.440389	-0.03717624	-0.20589684	-0.39818854
160	-0.34278	0.0428879	-0.0516845	-2.27815	1.31309	-0.586037	-2.62093	1.3559779	-0.6377215	-0.3515766	-1.9026736
161	-0.343764	0.0428653	-0.0518069	-2.2894	1.31928	-0.589035	-2.633164	1.3621453	-0.6408419	-0.3527056	-1.9118606
162	-0.34458	0.0419482	-0.0519935	-2.29054	1.32052	-0.589315	-2.63512	1.3624682	-0.6413085	-0.3546253	-1.9139603
163	-0.3417	0.0420946	-0.0516145	-2.28096	1.31455	-0.586982	-2.62266	1.3566446	-0.6385965	-0.3512199	-1.9046119
164	0.348246	-0.150471	0.0563138	1.49053	-0.764003	0.481006	1.838776	-0.914474	0.5373198	0.2540888	1.4616218
165	0.758544	0.0185447	0.0266029	-0.130479	-0.151156	-0.115205	0.628065	-0.1326113	-0.0886021	0.8036916	0.4068516
166	1.28443	-0.120783	0.0935903	2.0248	-1.33275	0.449901	3.30923	-1.453533	0.5434913	1.2572373	2.3991883
167	0.481423	0.0962583	0.0232297	0.0884955	-0.205125	0.0689788	0.5699185	-0.1088667	0.0922085	0.600911	0.5532603
168	0.809659	0.0231498	0.0367388	0.156025	-0.261865	-0.0252995	0.965684	-0.2387152	0.0114393	0.8695476	0.7384081
169	1.04796	0.047768	0.0781405	1.24042	-0.640112	0.300154	2.28838	-0.592344	0.3782945	1.1738685	2.0743305
170	-0.0750468	0.66755	0.0283827	0.204523	-0.334388	0.0124573	0.1294762	0.333162	0.04084	0.6208859	0.5034782
171	-0.197112	0.672319	0.0223037	0.258138	-0.38664	0.0661442	0.061026	0.285679	0.0884479	0.4975107	0.4351529
172	0.0113927	0.77747	0.0911855	2.22518	-1.07418	0.741312	2.2365727	-0.29671	0.8324975	0.8800482	2.7723602
173	-0.659441	0.945694	-0.0321893	-2.09087	1.20497	-0.538101	-2.750311	2.150664	-0.5702903	0.2540637	-1.1699373
174	-0.662561	0.945897	-0.0325842	-2.10224	1.21257	-0.540921	-2.764801	2.158467	-0.5735052	0.2507518	-1.1798392
175	-0.201315	-0.516878	-0.0787223	0.489625	-0.311882	0.151841	0.28831	-0.82876	0.0731187	-0.7969153	-0.4673313
176	0.211637	-0.715082	-0.0646138	0.92346	-0.80683	0.111837	1.135097	-1.521912	0.0472232	-0.5680588	-0.3395918
177	-0.272607	-0.530164	-0.0962594	0.0260769	-0.146598	-9.32559e-05	-0.2465301	-0.676762	-0.0963526559	-0.8990304	-1.0196447559
178	0.212235	-0.559721	-0.0168334	2.3339	-1.20521	0.664067	2.546135	-1.764931	0.6472336	-0.3643194	1.4284376
179	-0.160492	-0.550735	-0.0808403	0.452938	-0.339357	0.115138	0.292446	-0.890092	0.0342977	-0.7920673	-0.5633483
180	0.0306292	-0.162874	-0.0102178	-0.618275	0.481109	-0.167979	-0.5876458	0.318235	-0.1781968	-0.1424626	-0.4476076
181	0.130109	-0.173273	0.0142766	0.226192	0.0717747	0.100936	0.356301	-0.1014983	0.1152126	-0.0288874	0.3700153
182	-0.0766576	-0.183212	-0.039688	-1.55217	0.86091	-0.476604	-1.6288276	0.677698	-0.516292	-0.2995576	-1.4674216
183	-0.00854543	-0.173023	-0.0211263	-0.952578	0.606214	-0.279757	-0.96112343	0.433191	-0.3008833	-0.20269473	-0.82881573
184	0.0724166	-0.15689	0.00111661	-0.26704	0.332666	-0.052399	-0.1946234	0.175776	-0.05128239	-0.08335679	-0.07012979
185	0.458618	0.957595	0.13151	0.311905	-0.0582764	0.127819	0.770523	0.8993186	0.259329	1.547723	1.9291706
186	0.479166	0.922967	0.121735	-0.0228061	0.0263276	-0.0111573	0.4563599	0.9492946	0.1105777	1.523868	1.5162322
187	0.91024	0.724214	0.178565	2.17478	-1.33709	0.574894	3.08502	-0.612876	0.753459	1.813019	3.225603
188	0.835089	0.755551	0.176195	2.11849	-1.27341	0.587792	2.953579	-0.517859	0.763987	1.766835	3.199707
189	0.344916	0.912763	0.0830301	-1.32833	0.6024	-0.44145	-0.983414	1.515163	-0.3584199	1.3407091	0.1733291
190	0.059356	0.268425	0.0913326	-0.82021	0.395276	-0.279147	-0.760854	0.663701	-0.1878144	0.4191136	-0.2849674
191	0.194464	0.215239	0.116765	0.191617	-0.188699	0.0219225	0.386081	0.02654	0.1386875	0.526468	0.5513085
192	0.372077	0.203502	0.159186	1.62854	-0.866089	0.476723	2.000617	-0.662587	0.635909	0.734765	1.973939
193	0.275427	0.213936	0.168731	2.1933	-1.19167	0.708537	2.468727	-0.977734	0.877268	0.658094	2.368261
194	0.0638787	0.28911	0.100989	-0.492701	0.283826	-0.155032	-0.4288223	0.572936	-0.054043	0.4539777	0.0900707
195	0.147182	-0.578022	-0.106861	0.81696	-0.623672	0.15602	0.964142	-1.201694	0.049159	-0.537701	-0.188393
196	-0.270282	-0.441047	-0.15069	-0.669172	0.260763	-0.200126	-0.939454	-0.180284	-0.350816	-0.862019	-1.470554
197	0.0576787	-0.555808	-0.123056	0.213424	-0.306838	-0.0233461	0.2711027	-0.862646	-0.1464021	-0.6211853	-0.7379454
198	-0.801909	-0.236863	-0.20979	-2.74019	1.58022	-0.705942	-3.542099	1.343357	-0.915732	-1.248562	-3.114474
199	-0.818884	-0.229662	-0.211813	-2.81045	1.61833	-0.724157	-3.629334	1.388668	-0.93597	-1.260359	-3.176636
200	-0.433687	0.0680835	-0.0630498	-2.66112	1.5354	-0.685008	-3.094807	1.6034835	-0.7480578	-0.4286533	-2.2393813
201	0.0999723	-0.126869	0.0100567	0.00977896	-0.0682775	0.0359073	0.10975126	-0.1951465	0.045964	-0.01684	-0.03943124
202	0.0581037	-0.110314	0.00784246	-0.0479486	-0.0157636	0.0335209	0.0101551	-0.1260776	0.04136336	-0.04436784	-0.07455914
